event_id,vehicle_id,vehicle_token,vehicle_model,manufacturer,attack_type,label,anomaly_score,weak_prediction,strong_prediction,dataset_set,subset_name,frame_count,unique_can_id_count,can_id_entropy,most_common_can_id_ratio,id_transition_rate,id_repetition_rate,mean_inter_arrival_time,std_inter_arrival_time,min_inter_arrival_time,max_inter_arrival_time,message_rate,mean_dlc,std_dlc,dlc_mode_ratio,byte_mean_0,byte_mean_1,byte_mean_2,byte_mean_3,byte_mean_4,byte_mean_5,byte_mean_6,byte_mean_7,byte_std_0,byte_std_1,byte_std_2,byte_std_3,byte_std_4,byte_std_5,byte_std_6,byte_std_7,payload_change_rate,payload_static_ratio,local_alert,weak_signal,burstiness,payload_entropy,cluster_id,in_qualifying_campaign,is_noise
EVT-CHE-00000065,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,10.799650599421915,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,9.016809094598802,0.049999999949999985,0.5,0.5,22.672872358253496,0.00014999999984999994,1e-06,0.01,0.0,8.0,0.1,1.0,10.955008692517445,11.975138874276078,13.016316269316201,13.993661653757577,14.961825669629247,15.97245217062207,16.970331199866152,18.058309322722142,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,8.512947159836333,-2224.738699059535,0,True,False
EVT-CHE-00000068,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,11.85155865335701,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,9.994829939014053,0.049999999949999985,0.5,0.5,21.739179034646625,0.00014999999984999994,1e-06,0.01,0.0,8.0,0.1,1.0,10.974342238662981,11.927184926273274,13.043082215635291,13.953015512995185,14.9814979445412,15.969880735712643,16.963608806106304,18.03716183377803,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,9.35259605757481,-2221.4681011252487,0,True,False
EVT-CHE-00000051,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,12.015943073014009,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,11.240400311210111,0.049999999949999985,0.5,0.5,21.52276017756034,0.00014999999984999994,1e-06,0.01,0.0,8.0,0.1,1.0,11.016911949508764,12.066263946205828,12.981621459981657,13.969472384953384,14.999531436333733,16.029918958940115,17.024120450791738,18.007792888660532,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,9.548920271426425,-2183.208097175846,0,True,False
EVT-CHE-00000073,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,12.391795592249247,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,11.29143472511773,0.049999999949999985,0.5,0.5,21.590176229142813,0.00014999999984999994,1e-06,0.01,0.0,8.0,0.1,1.0,10.959565107081774,11.998581379362784,13.060209574745125,13.930522481404708,14.980809910972342,15.930826219003842,17.108607774866492,18.09091597671842,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,9.487694523720574,-2249.009869525527,0,True,False
EVT-CHE-00000063,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,11.624585435592683,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,8.975065584149977,0.049999999949999985,0.5,0.5,23.454271712711638,0.00014999999984999994,1e-06,0.01,0.0,8.0,0.1,1.0,11.083146551862049,11.9906114000013,12.95544635803419,14.000802648432298,14.965479413257928,15.984398323011238,17.077921469783952,18.01959504936169,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,7.819293074395659,-2188.9740954027875,0,True,False
EVT-CHE-00000062,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,11.189478256833173,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,10.23356775352148,0.049999999949999985,0.5,0.5,21.456720061677554,0.00014999999984999994,1e-06,0.01,0.0,8.0,0.1,1.0,10.955215765868784,12.01187873849274,12.905366968333288,13.986201791387554,14.980192291538609,16.033917996389448,16.93730898224124,18.085671906929772,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,9.608957379592685,-2244.744622455682,0,True,False
EVT-CHE-00000070,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,12.783692594056395,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,9.333119834692644,0.049999999949999985,0.5,0.5,21.307868250583393,0.00014999999984999994,1e-06,0.01,0.0,8.0,0.1,1.0,11.066924851035775,12.011121686263243,13.002104177709402,13.970834035144964,14.92194153018942,16.009247267758777,17.059763069436237,17.955017239664617,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,9.744500349118356,-2161.4240738903054,0,True,False
EVT-CHE-00000053,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,9.560611759064948,1,0,set_01,test_01_known_vehicle_known_attack,0.0,21.0,9.986886519483354,0.049999999949999985,0.5,0.5,23.331949306189504,0.00014999999984999994,1e-06,0.01,0.0,8.0,0.1,1.0,11.014421587094446,11.94400882503216,12.98717952125057,13.950908262923718,15.038396769212858,15.942345229298992,17.066128635045985,18.02890939712853,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,0,1,7.927342263718119,-2227.8116840334906,0,True,False
EVT-CHE-00000052,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,13.101204506018318,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,8.503721470344155,0.049999999949999985,0.5,0.5,20.98833195766294,0.00014999999984999994,1e-06,0.01,0.0,8.0,0.1,1.0,11.008161305721138,11.953566923854432,12.93291627788285,13.939609007280282,14.954091803838741,15.991076255458783,16.94886870920042,18.01174494192505,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,10.036508470583794,-2210.488735262767,0,True,False
EVT-CHE-00000066,chevrolet_impala,chevrolet_impala,chevrolet_impala,Chevrolet,dos,1,11.554602994696568,1,1,set_01,test_01_known_vehicle_known_attack,0.0,21.0,9.553172273846922,0.049999999949999985,0.5,0.5,24.170630476593562,0.00014999999984999994,1e-06,0.01,0.0,8.0,0.1,1.0,10.972311783660798,12.074470885426017,13.065786610127798,13.99236241895347,14.929030433292228,16.022650706554046,17.033633757353986,18.048390224086948,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.3,0.7,1,1,7.1904823513026965,-2194.9359491268197,0,True,False
