nodes,unique_undirected_edges,pyg_stored_edges,directed_status,average_degree,median_degree,graph_density,isolated_nodes,isolated_node_percentage,connected_components,largest_component_size,cross_vehicle_edges,same_vehicle_edges,cross_vehicle_edge_percentage,similarity_threshold,top_k_same_vehicle,top_k_cross_vehicle,graph_construction_time_sec,run_id
200,467,934,undirected_nx_bidirectional_pyg,4.67,4.5,0.02346734,19,9.5,28,114,47,420,10.0642,0.95,10,5,0.028459,campaign_size_corrected_weak_n2_fcgnn_seed53_20260611T122938_317eb40e
200,511,1022,undirected_nx_bidirectional_pyg,5.11,5.0,0.02567839,18,9.0,27,114,46,465,9.002,0.95,10,5,0.029184,campaign_size_corrected_weak_n2_fcgnn_seed67_20260611T122942_6e77bac2
200,436,872,undirected_nx_bidirectional_pyg,4.36,4.0,0.02190955,16,8.0,27,129,46,390,10.5505,0.95,10,5,0.032329,campaign_size_corrected_weak_n2_fcgnn_seed71_20260611T122947_c31fb8b1
200,518,1036,undirected_nx_bidirectional_pyg,5.18,5.0,0.02603015,18,9.0,29,129,52,466,10.0386,0.95,10,5,0.030065,campaign_size_corrected_weak_n2_fcgnn_seed83_20260611T122951_c27d3755
200,502,1004,undirected_nx_bidirectional_pyg,5.02,4.0,0.02522613,27,13.5,36,131,47,455,9.3625,0.95,10,5,0.034191,campaign_size_corrected_weak_n2_fcgnn_seed97_20260611T122955_b2f38bed
200,573,1146,undirected_nx_bidirectional_pyg,5.73,5.0,0.02879397,19,9.5,27,132,55,518,9.5986,0.95,10,5,0.031551,campaign_size_corrected_weak_n2_standard_gnn_seed101_20260611T122959_f8d87c5b
200,473,946,undirected_nx_bidirectional_pyg,4.73,4.0,0.02376884,28,14.0,39,124,52,421,10.9937,0.95,10,5,0.030865,campaign_size_corrected_weak_n2_standard_gnn_seed11_20260611T122919_7ab6442b
200,502,1004,undirected_nx_bidirectional_pyg,5.02,5.0,0.02522613,14,7.0,22,133,55,447,10.9562,0.95,10,5,0.029159,campaign_size_corrected_weak_n2_standard_gnn_seed23_20260611T122923_e008e394
200,489,978,undirected_nx_bidirectional_pyg,4.89,4.0,0.02457286,25,12.5,38,125,52,437,10.6339,0.95,10,5,0.029968,campaign_size_corrected_weak_n2_standard_gnn_seed37_20260611T122928_1c56d247
200,516,1032,undirected_nx_bidirectional_pyg,5.16,4.0,0.02592965,14,7.0,24,74,46,470,8.9147,0.95,10,5,0.028693,campaign_size_corrected_weak_n2_standard_gnn_seed41_20260611T122932_c4645d3c
200,467,934,undirected_nx_bidirectional_pyg,4.67,4.5,0.02346734,19,9.5,28,114,47,420,10.0642,0.95,10,5,0.028317,campaign_size_corrected_weak_n2_standard_gnn_seed53_20260611T122937_012c6217
200,511,1022,undirected_nx_bidirectional_pyg,5.11,5.0,0.02567839,18,9.0,27,114,46,465,9.002,0.95,10,5,0.030264,campaign_size_corrected_weak_n2_standard_gnn_seed67_20260611T122941_7e44f208
200,436,872,undirected_nx_bidirectional_pyg,4.36,4.0,0.02190955,16,8.0,27,129,46,390,10.5505,0.95,10,5,0.032137,campaign_size_corrected_weak_n2_standard_gnn_seed71_20260611T122945_3639344c
200,518,1036,undirected_nx_bidirectional_pyg,5.18,5.0,0.02603015,18,9.0,29,129,52,466,10.0386,0.95,10,5,0.030343,campaign_size_corrected_weak_n2_standard_gnn_seed83_20260611T122950_4bf6d54a
200,502,1004,undirected_nx_bidirectional_pyg,5.02,4.0,0.02522613,27,13.5,36,131,47,455,9.3625,0.95,10,5,0.03053,campaign_size_corrected_weak_n2_standard_gnn_seed97_20260611T122954_c4d58189
