scenario_id,scenario_key,scenario_label,seed,campaign_size,method,local_ids,descriptor_sharing,fleet_graph,graphsage,dbscan,campaign_reasoning,local_precision,local_recall,local_f1,local_fpr,local_alert_generated,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_rate,incorrect_merge_rate,membership_precision,membership_recall,membership_f1,fragmentation,source,metric_source
S3,strong_coordinated_campaign,Strong coordinated campaign,71,5,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,0.0,campaign_metrics.csv (archive),
S3,strong_coordinated_campaign,Strong coordinated campaign,71,10,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,0.0,campaign_metrics.csv (archive),
S3,strong_coordinated_campaign,Strong coordinated campaign,83,2,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,0.0,campaign_metrics.csv (archive),
S3,strong_coordinated_campaign,Strong coordinated campaign,83,5,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,0.0,campaign_metrics.csv (archive),
S3,strong_coordinated_campaign,Strong coordinated campaign,83,10,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,1.0,1.0,1.0,1.0,,0.0,1.0,0.9,0.9473684210526316,0.0,campaign_metrics.csv (archive),
S3,strong_coordinated_campaign,Strong coordinated campaign,97,2,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,1.0,0.5,1.0,0.6666666666666666,,0.0,0.2,1.0,0.3333333333333333,1.0,campaign_metrics.csv (archive),
S3,strong_coordinated_campaign,Strong coordinated campaign,97,5,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,campaign_metrics.csv (archive),
S3,strong_coordinated_campaign,Strong coordinated campaign,97,10,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,0.0,campaign_metrics.csv (archive),
S3,strong_coordinated_campaign,Strong coordinated campaign,101,2,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,campaign_metrics.csv (archive),
S3,strong_coordinated_campaign,Strong coordinated campaign,101,5,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,1.0,0.5,1.0,0.6666666666666666,,0.0,1.0,1.0,1.0,1.0,campaign_metrics.csv (archive),
